N,mode,threads,sched,chunk,run1_cold_s,run2_s,run3_s,avg_s,throughput_iter_per_s,max_steps,checksum,hits_gt100
13342000,seq,1,static,0,2.094530,2.051099,2.042641,2.046870,6518245,688,111680116,10766131
13342000,par,1,static,0,2.040146,2.033173,2.039292,2.036233,6552297,688,111680116,10766131
13342000,par,2,static,0,1.097485,1.099174,1.099244,1.099209,12137819,688,111680116,10766131
13342000,par,4,static,0,0.573441,0.572933,0.572775,0.572854,23290402,688,111680116,10766131
13342000,par,8,static,0,0.388842,0.387723,0.393139,0.390431,34172491,688,111680116,10766131
13342000,fs_naive,8,static,0,0.448064,0.401443,0.411700,0.406572,32815876,0,0,10766131
13342000,fs_padded,8,static,0,0.391905,0.397028,0.389459,0.393244,33928088,0,0,10766131
13342000,par,8,static,0,0.380264,0.375009,0.388566,0.381788,34946142,688,111680116,10766131
13342000,par,8,static,1000,0.394095,0.379900,0.392294,0.386097,34556083,688,111680116,10766131
13342000,par,8,dynamic,100,0.396817,0.385740,0.385318,0.385529,34606995,688,111680116,10766131
13342000,par,8,dynamic,10000,0.371172,0.373480,0.376197,0.374839,35593996,688,111680116,10766131
13342000,par,8,guided,0,0.389028,0.370017,0.370213,0.370115,36048255,688,111680116,10766131
